GeneID,Total_Votes,MLP (Masked),Univariate (ANOVA),Lasso (L1),Random Forest,SVM,XGBoost
TraesCS2A02G284200,5,0,1,1,1,1,1
TraesCS3A02G122100,5,0,1,1,1,1,1
TraesCS5B02G296200,5,0,1,1,1,1,1
TraesCS1A02G301600,4,0,1,1,1,1,0
TraesCS2A02G492900,4,0,1,1,0,1,1
TraesCS4B02G007300,4,0,1,1,1,1,0
TraesCS1A02G273000,3,0,1,1,1,0,0
TraesCS2A02G280000,3,1,0,1,0,1,0
TraesCS4A02G185200,3,1,0,1,1,0,0
TraesCS7A02G147100,3,0,0,1,1,0,1
TraesCS7A02G292900,3,0,1,0,1,0,1
TraesCS7B02G245300,3,1,1,0,0,0,1
TraesCS1A02G217300,2,0,1,1,0,0,0
TraesCS2A02G171800,2,0,0,1,0,0,1
TraesCS2A02G172400,2,0,0,1,0,0,1
TraesCS2A02G340000,2,0,1,0,1,0,0
TraesCS2A02G425900,2,0,0,1,0,0,1
TraesCS2D02G341500,2,0,0,1,0,0,1
TraesCS2D02G578100,2,0,1,0,1,0,0
TraesCS3A02G150300,2,0,1,0,1,0,0
TraesCS3B02G557500,2,0,1,0,0,0,1
TraesCS3D02G278800,2,0,0,1,0,0,1
TraesCS4B02G198600,2,0,0,1,0,0,1
TraesCS4B02G330400,2,0,0,1,0,0,1
TraesCS4D02G034700,2,0,0,1,0,0,1
TraesCS5B02G080200,2,0,0,1,0,0,1
TraesCS5B02G111200,2,0,0,0,1,1,0
TraesCS5B02G147800,2,0,0,1,0,0,1
TraesCS5D02G175000,2,0,0,0,1,0,1
TraesCS5D02G449200,2,0,0,1,0,0,1
TraesCS6A02G336900,2,0,0,1,0,0,1
TraesCS7A02G220000,2,0,1,0,1,0,0
TraesCS7A02G250700,2,0,0,1,0,0,1
TraesCS7A02G271500,2,0,0,1,0,0,1
TraesCS7A02G320500,2,0,1,0,1,0,0
TraesCS7B02G249200,2,0,0,1,0,0,1
TraesCS1A02G044800,1,1,0,0,0,0,0
TraesCS1A02G177400,1,1,0,0,0,0,0
TraesCS1A02G249300,1,0,0,0,0,1,0
TraesCS1A02G275300,1,0,0,0,0,0,1
TraesCS1B02G167100,1,1,0,0,0,0,0
TraesCS1B02G294400,1,0,0,0,0,0,1
TraesCS1D02G186100,1,0,1,0,0,0,0
TraesCS1D02G257500,1,0,0,0,0,0,1
TraesCS1D02G399000,1,1,0,0,0,0,0
TraesCS2A02G010100,1,1,0,0,0,0,0
TraesCS2A02G097500,1,0,1,0,0,0,0
TraesCS2A02G233400,1,1,0,0,0,0,0
TraesCS2A02G261600,1,1,0,0,0,0,0
TraesCS2A02G272600,1,1,0,0,0,0,0
TraesCS2B02G020400,1,0,0,0,0,1,0
TraesCS2B02G189900,1,1,0,0,0,0,0
TraesCS2B02G194400,1,1,0,0,0,0,0
TraesCS2B02G244400,1,1,0,0,0,0,0
TraesCS2B02G364400,1,1,0,0,0,0,0
TraesCS2B02G498400,1,0,0,0,0,0,1
TraesCS2D02G092800,1,0,0,0,1,0,0
TraesCS2D02G183100,1,1,0,0,0,0,0
TraesCS2D02G271300,1,0,0,1,0,0,0
TraesCS2D02G295500,1,1,0,0,0,0,0
TraesCS2D02G400700,1,0,0,0,1,0,0
TraesCS3A02G036600,1,0,0,0,1,0,0
TraesCS3A02G158000,1,0,0,0,0,1,0
TraesCS3A02G168900,1,0,1,0,0,0,0
TraesCS3A02G205000,1,0,1,0,0,0,0
TraesCS3A02G214300,1,1,0,0,0,0,0
TraesCS3A02G291700,1,0,1,0,0,0,0
TraesCS3A02G342500,1,0,0,0,0,1,0
TraesCS3B02G077100,1,0,0,0,0,1,0
TraesCS3B02G351400,1,0,0,0,0,1,0
TraesCS3B02G374500,1,0,0,0,0,1,0
TraesCS3B02G432400,1,0,0,0,0,1,0
TraesCS3D02G424900,1,0,0,1,0,0,0
TraesCS3D02G438900,1,0,0,0,1,0,0
TraesCS4A02G055400,1,1,0,0,0,0,0
TraesCS4A02G089200,1,0,0,0,0,0,1
TraesCS4A02G162300,1,0,0,0,0,1,0
TraesCS4A02G214200,1,0,0,0,0,1,0
TraesCS4A02G233500,1,0,0,0,0,1,0
TraesCS4A02G305300,1,0,0,0,0,1,0
TraesCS4A02G316900,1,0,0,0,0,1,0
TraesCS4A02G330300,1,0,0,0,0,1,0
TraesCS4B02G137200,1,0,0,0,1,0,0
TraesCS4B02G172300,1,0,0,1,0,0,0
TraesCS4B02G200300,1,1,0,0,0,0,0
TraesCS4B02G215900,1,1,0,0,0,0,0
TraesCS4B02G219500,1,0,0,0,0,1,0
TraesCS4B02G371400,1,0,0,0,1,0,0
TraesCS4D02G091300,1,0,1,0,0,0,0
TraesCS4D02G102300,1,0,1,0,0,0,0
TraesCS5A02G060600,1,0,0,0,0,1,0
TraesCS5A02G126700,1,0,0,0,1,0,0
TraesCS5A02G412900,1,0,0,0,0,1,0
TraesCS5A02G422300,1,0,0,0,0,1,0
TraesCS5B02G026600,1,0,0,0,1,0,0
TraesCS5B02G104600,1,1,0,0,0,0,0
TraesCS5B02G154700,1,0,0,0,1,0,0
TraesCS5B02G400300,1,0,0,0,0,1,0
TraesCS5B02G476700,1,1,0,0,0,0,0
TraesCS5B02G512800,1,0,1,0,0,0,0
TraesCS5D02G211900,1,1,0,0,0,0,0
TraesCS5D02G286200,1,1,0,0,0,0,0
TraesCS5D02G480800,1,0,0,0,1,0,0
TraesCS6A02G250800,1,0,0,0,1,0,0
TraesCS6B02G245900,1,0,1,0,0,0,0
TraesCS6B02G345300,1,0,0,1,0,0,0
TraesCS6D02G162100,1,0,1,0,0,0,0
TraesCS6D02G278300,1,0,0,0,1,0,0
TraesCS6D02G324200,1,0,1,0,0,0,0
TraesCS6D02G332000,1,0,1,0,0,0,0
TraesCS7A02G076800,1,0,1,0,0,0,0
TraesCS7A02G187100,1,0,0,0,0,1,0
TraesCS7A02G519600,1,1,0,0,0,0,0
TraesCS7B02G166700,1,1,0,0,0,0,0
TraesCS7B02G175100,1,1,0,0,0,0,0
TraesCS7B02G384400,1,0,0,0,1,0,0
TraesCS7B02G396100,1,0,0,0,0,1,0
TraesCS7D02G222300,1,1,0,0,0,0,0
TraesCS7D02G269000,1,0,0,0,1,0,0
TraesCS7D02G313200,1,0,0,0,0,0,1
TraesCS7D02G341300,1,0,1,0,0,0,0
TraesCS7D02G494400,1,1,0,0,0,0,0
TraesCSU02G067400,1,0,0,0,0,1,0
